"item_name","description","item_quantity","station_name","receiving_date","receiving_time"
"COAT","GREY COAT","1","RAJIV CHOWK","08/01/2024","21:10:00"
"WATCH & BOTTLE","TIMES WATCH & STEEL BOTTLE","2","MILLENNIUM CITY CENTRE GURUGRAM","08/01/2024","20:30:00"
"BAG","BLACK BAG WITH MUFFLER","1","KANHAIYA NAGAR","08/01/2024","01:45:00"
"EARBUD","WHITE","1","PATEL NAGAR","08/01/2024","20:40:00"
"RING","RING","1","NEW DELHI (Yellow & Airport Line)","08/01/2024","05:40:00"
"PURSE","WITH AADHAR CARD,PAN CARD,DL,BANK CARDS ,CASH OF RAVIKANT KUMAR","1","PULBANGASH","07/01/2024","21:00:00"
"CARTOON","SHELVES","1","SAMAYPUR BADLI","07/01/2024","20:30:00"
"BAG","BOTTLE, CLOTHES ,SLEEPER","1","ANAND VIHAR ISBT","07/01/2024","12:24:00"
"BAG","BLACK GREEN BAG WITH SHAWL,CAP,MUFFLER","1","ROHINI WEST","07/01/2024","10:30:00"
"POUCH PURSE","CASH","1","PUNJABI BAGH WEST","07/01/2024","08:40:00"
"COAT","BLUE COAT WITH COVER","1","VAISHALI","07/01/2024","22:45:00"
"POLY BAG WITH CLOTHES","WHITE POLYBAG WITH (BLACK SHIRT & BLUE JEANS)        WHITE POLY BAG  WITH  (BLACK T-SHIRT),                              WHITE POLYBAG WITH 2 LOWER (BLACK & GREEN),            WHITE POLYBAG WITH BLACK T-SHIRT & CHECK SHIRT,     WHITE POLY BAG WITH 2 BLUE JEANS","5","JAMA MASJID","07/01/2024","21:24:00"
"POLYBAG WITH CLOTHES","TOWEL & LOWER","2","JAMA MASJID","07/01/2024","21:20:00"
"LADIES BAG","CHARGER, WATCH,HEADPHONE,SPEAKER,PENDRIVE,RINGS, BANGLE, ANKLET","1","MANSAROVAR PARK","07/01/2024","20:07:00"
"ORNAMENT","ANKLET","1","MAUJPUR-BABARPUR","07/01/2024","13:00:00"
"PURSE","BROWN PURSE WITH DL RC AADHAR VOTER ID OF SANJEEV ,PANKAJ ARORA ,SURENDER KUMAR & MONISHA","1","NEW DELHI (Yellow & Airport Line)","07/01/2024","14:30:00"
"EAR RING","EAR RING","1","GOLF COURSE","07/01/2024","21:05:00"
"BLACK BAG","WITH OLD CLOTHS,CHEQUE BOOK ,PASSBOOK OF DEEPAK","1","KASHMERE GATE","07/01/2024","19:35:00"
"PURSE","WITH DL BANK CARDS CASH OF J PRAJIT","1","MILLENNIUM CITY CENTRE GURUGRAM","07/01/2024","19:30:00"
"PURSE","WITH AADHAR CARD,PAN CARD.BANK CARDS,METRO CARD OF SARIKA CHAUDHARY","1","RAJIV CHOWK","07/01/2024","09:35:00"
"KNEE CAP","KNEE CAP","1","SHADIPUR","07/01/2024","20:40:00"
"BLUE  BAG","WITH WOOLEN CAP,LOWER,TOY CAR","1","LAL QUILA","07/01/2024","10:00:00"
"BAG","BLACK BAG WITH CCTV CAMERA ,VIDEO RECORDER ,ADOPTERS,MULTIMETER","1","LAL QUILA","07/01/2024","15:00:00"
"BAG","BLACK BAG WITH CLOTHS ,SHOES","1","CENTRAL SECRETARIAT","06/01/2024","18:15:00"
"POLY BAG","WITH SWEATER,RUBBER TOYS","1","LAJPAT NAGAR","06/01/2024","20:00:00"
"SILVER COLOR PURSE WITH SBI CARD OF ASHFA ALI","BLACK PURSE WITH AADHAR ,PAN CARD,VOTER ID,DL BANK CARDS OF ATUL YADAV & BLACK PURSE WITH AADHAR ,PAN ,BANK CARD OF ROHIT KUMAR","3","TUGHLAKABAD STATION","06/01/2024","14:15:00"
"BLANKET","BLANKET WITH COVER","1","NEW DELHI (Yellow & Airport Line)","06/01/2024","13:00:00"
"BLACK  CARRY BAG","WITH JACKET","1","SAMAYPUR BADLI","06/01/2024","20:30:00"
"EMPTY BAG","BLUE EMPTY BAG","1","RITHALA","06/01/2024","12:50:00"
"EARBUDS","BLACK EARBUDS","1","RITHALA","06/01/2024","11:30:00"
"EARPHONE","WIRED EARPHONE","1","RITHALA","06/01/2024","11:40:00"
"EARBUDS","BLACK","1","BRIG. HOSHIAR SINGH","06/01/2024","20:30:00"
"BAG","DELL BAG , VIVO CHARGER, ORNAMENT","1","BRIG. HOSHIAR SINGH","06/01/2024","13:50:00"
"BAG","BAG WITH SAMSUNG  MOBILE,POWER BANK, CHARGER, CLOTHES","1","AIRPORT (T-3)","06/01/2024","12:48:00"
"NECKBAND","BOAT NECKBAND","1","OKHLA BIRD SANCTUARY","06/01/2024","19:05:00"
"CLOTHES","SOX, SHIRT, CAP, SHAWL","1","RAJIV CHOWK","06/01/2024","00:29:00"
"POUCH","PASSPORT OF MIKAEL DELANG, BANK CARD","1","JHANDEWALAN","06/01/2024","17:00:00"
"CARRY BAG","WITH MASSAGER ,T SHIRT ,LOWER,TOWEL","1","MILLENNIUM CITY CENTRE GURUGRAM","06/01/2024","18:20:00"
"EMPTY BAG","BLACK EMPTY BAG","1","NEW DELHI (Yellow & Airport Line)","06/01/2024","21:15:00"
"POLY BAG","DIARY,CALCULATOR","1","UTTAM NAGAR EAST","05/01/2024","12:20:00"
"BAG","BROWN BAG WITH CHARGER ,CLOTHS,QUESTION PAPER BOOKS","1","NEW DELHI (Yellow & Airport Line)","05/01/2024","22:30:00"
"BAG WITH CHARGER","MILTON LUNCH BOX","2","KAROL BAGH","05/01/2024","23:40:00"
"POLY BAG","SHOE, BLANKET, TIFFIN","1","DWARKA SECTOR - 21","05/01/2024","20:20:00"
"CLOTHES","KIDS DRESS & CAP","1","JAMA MASJID","05/01/2024","20:50:00"
"WHITE POLY BAG","BLACK & WHITE BAG  AND BLACK JACKET","1","DILLI HAAT - INA","05/01/2024","18:38:00"
"BAG(AMERICAN TOURISTER)","MIC, SUPPLIMENT POUCH, COURT JUDGMENT COPY","1","TIS HAZARI","05/01/2024","19:00:00"
"BOTTLE","STEEL WATER BOTTLE","1","M.G. ROAD","05/01/2024","21:30:00"
"LADIES BAG","LIGHT GREEN BAG WITH CLOTH & CASH","1","M.G. ROAD","05/01/2024","13:00:00"
"EARBUDS","BOAT","1","ITO","05/01/2024","20:40:00"
"CLOTHE","CHUNRI","1","TRILOKPURI-SANJAY LAKE","05/01/2024","10:00:00"
"CARRY BAG","INJECTION, TIFFIN","1","JANAKPURI WEST","05/01/2024","19:06:00"
"WATCH","SMART WATCH","1","JANAKPURI EAST","05/01/2024","19:45:00"
"HAND BAG","MUFFLER,STEEL GLASS AND SPOON,,MOBILE CHARGER","1","AIRPORT (T-3)","05/01/2024","13:09:00"
"BOTTLE","BLACK BOTTLE","1","HAUZ KHAS","05/01/2024","19:40:00"
"EARBUDS","BLACK EARBUDS","1","GURU DRONACHARYA","04/01/2024","21:40:00"
"BAG","BLACK BAG WUITH BLANKET ,GLOVES,SHAWL","1","YASHOBHOOMI DWARKA SECTOR  - 25","04/01/2024","10:00:00"
"SHOES","LADY SHOES","1","YASHOBHOOMI DWARKA SECTOR  - 25","04/01/2024","10:10:00"
"PAPER BAG","WITH MOUSE ,PENS,PENDRIVE,MOUSE PAD","1","NOIDA ELECTRONIC CITY","04/01/2024","16:30:00"
"AADHAR,DL,BANK CARD OF SANJAY ARORA","AADHAR,DL,BANK CARD OF SANJAY ARORA","3","DWARKA SECTOR - 21","04/01/2024","14:30:00"
"BAG","RED BAG WITH CHARGER,SUNGLASS,CLOTHS,AADHAR OF GAGAN & SONIA","1","RAJA NAHAR SINGH (BALLABHGARH)","04/01/2024","15:30:00"
"JUTE BAG","WITH ELECTRIC LUNCH BOX","1","KASHMERE GATE","04/01/2024","09:25:00"
"POLY BAG","WITH LADY SWEATER","1","TILAK NAGAR","04/01/2024","23:30:00"
"MOBILE","APPLE MOBILE","1","NARAINA VIHAR","04/01/2024","18:00:00"
"BROWN BAG ( MILITERY DESIGN)","BLANKET ,SPECTACKLE, CHARGER,","1","GURU TEG BAHADUR NAGAR","04/01/2024","22:45:00"
"SLING BAG","WITH PURSE, CASH ,DL ,VOTER ID ,BANK CARD OF NAWANG RIGZIN & DISKET","1310","NEW DELHI (Yellow & Airport Line)","03/01/2024","01:00:00"
"BAG","CLOTHS,CHARGER SUNGLASS","1","TIS HAZARI","03/01/2024","14:45:00"
"LUNCH BOX  & KEYS","GREY SIGNORAWARE LUNCH BOX & 5 KEYS","2","BARAKHAMBA ROAD","03/01/2024","14:30:00"
"JACKET","GREY JACKET","1","SHAHDARA","03/01/2024","17:10:00"
"CARRY BAG","BLUE JACKET,SHOES","1","CHHATARPUR","03/01/2024","19:35:00"
"PURSE","WITH CASH,DL OF MUKESH KUMAR SHRESTHA","1","DELHI AEROCITY","03/01/2024","23:00:00"
"BAG","BLACK BAG WITH CHARGER ,CLOTHS SCHOOL LEAVING CERTIFICATE OF GANDHI KUMAR","1","DWARKA SECTOR - 12","03/01/2024","16:40:00"
"MOBILE","REDMI MOBILE","1","DWARKA MOR","03/01/2024","17:00:00"
"BAG","BLACK BAG WITH REGISTER","1","IFFCO CHOWK","03/01/2024","21:00:00"
"LUNCH BOX","MILTON LUNCH BOX WITH 4 CONTAINER","1","KARKARDUMA COURT","03/01/2024","20:15:00"
"RING","SILVER COLOR RING","1","NOIDA SECTOR-18","02/01/2024","18:00:00"
"CASH","CASH","1","RAJIV CHOWK","02/01/2024","11:04:00"
"HEATER TUBES","HEATER TUBES IN BOXES","1","LAL QUILA","02/01/2024","08:00:00"
"BAG","BLACK BAG TIFFIN BLANKET SHAWL OF SATYENDRA PRASAD","1","SAMAYPUR BADLI","02/01/2024","16:30:00"
"WATCH","LADY WATCH SILVER COLOR","1","DWARKA MOR","02/01/2024","12:00:00"
"BAG","BAG WITH CLOTHS ,DECORATIVE BOTTLES","1","ROHINI SECTOR - 18, 19","02/01/2024","08:00:00"
"BOTTLE","BLACK BOTTLE","1","GURU DRONACHARYA","02/01/2024","21:40:00"
"PURSE","HAND PURSE WITH MI MOBILE","1","CHHATARPUR","02/01/2024","09:30:00"
"BAG","BACK PACK WITH CLOTHS,BANK CARDS, EARPHONE,CHARGER  OF VIKRAM SINGH TOMAR","1","JAHANGIRPURI","02/01/2024","11:30:00"
"BAG","BLACK BAG WITH BOOKS ,T SHIRT,SCALE","1","PATEL CHOWK","02/01/2024","00:50:00"
"PURSE (SLEEVE BAG)","KEYS, CLOTHE, BLACK  JACKET","","JAMA MASJID","02/01/2024","10:00:00"
"ROOM HEATER","WHITE COLOUR","1","RAJIV CHOWK","02/01/2024","21:15:00"
"JACKET","BLACK JACKET OLD","1","AIRPORT (T-3)","02/01/2024","04:40:00"
"CARRY BAG","WITH CUP ,PINK WARM DRESS","1","VIDHAN SABHA","02/01/2024","10:30:00"
"1 SHAWL,  3CAP, 2 METRO CARD","BLACK SHAWL, WOOLEN CAP,","6","JANPATH","02/01/2024","20:08:00"
"BACKPACK","DRILLING MACHINE,USED CLOTHES, CUTTER DISK,LUNCHBOX, MOBILE, MOBILE CHARGER, DHOOP DRY CONE,WRIST WATCH","","YASHOBHOOMI DWARKA SECTOR  - 25","02/01/2024","20:10:00"
"WIFI & EARBUDS","JIO WIFI DEVICE & WINGS EARBUDS","2","SHIVAJI STADIUM","02/01/2024","21:15:00"
"MANGALSHUTRA","MANGALSHUTRA","1","DASHRATHPURI","02/01/2024","19:10:00"
"EAR RING","1 EARING","1","CHANDNI CHOWK","01/01/2024","21:40:00"
"SIDE BAG","WITH NECKBAND ,CHARGER","1","NEW DELHI (Yellow & Airport Line)","01/01/2024","09:40:00"
"BOTTLE","STEEL BOTTLE","1","RAMAKRISHNA ASHRAM MARG","01/01/2024","09:15:00"
"POLY BAG","WITH JACKET","1","DILLI HAAT - INA","01/01/2024","12:30:00"
"BAG","BROWN BAG WITH CLOTHS","1","KASHMERE GATE","01/01/2024","14:50:00"
"RING","SILVER COLOR RING","1","DELHI AEROCITY","01/01/2024","18:45:00"
"SHOES","WHITE GREY SHOES","1","YASHOBHOOMI DWARKA SECTOR  - 25","01/01/2024","13:20:00"
"PHOTO FRAMES","PHOTO FRAME WITH GROUP PHOTO","1","YASHOBHOOMI DWARKA SECTOR  - 25","01/01/2024","14:50:00"
"PAPER BAG","BLACK MUFFLER ,MOBILE CHARGER","1","DWARKA SECTOR - 8","01/01/2024","15:15:00"
"MOBILE","I PHONE","1","RAJIV CHOWK","01/01/2024","03:50:00"
"BAG","BLACK BAG , MOBILE CHARGER , DRILL MACHINE, SCREW DRIVER","1","SAMAYPUR BADLI","01/01/2024","23:40:00"
"BAG","BLACK BAG WITH LUNCH BAG ,LOWER ,KID SHOES ,PAN CARD OF SHIVA SHREEVASTAV","1","MILLENNIUM CITY CENTRE GURUGRAM","01/01/2024","14:00:00"
"BAG","GREY BAG WITH PURSE,CASH,DL,ID CARD OF SUJAL GUPTA","1","MILLENNIUM CITY CENTRE GURUGRAM","01/01/2024","14:00:00"
"CARRY BAG","WITH 2 UNSTITCHED CLOTHS OF BHAVANA","1","CHANDNI CHOWK","01/01/2024","21:40:00"
"BOTTLE","STEEL FEEDING BOTTLE","1","SHASTRI NAGAR","01/01/2024","18:50:00"
"TROLLEY BAG","CLOTHES, AND A BACKPACK","1","CENTRAL SECRETARIAT","01/01/2024","20:00:00"
"GENTS PURSE","DOCUMENTS & BANK CARD OF PRAJNADIPTA SINGH","1","RAMESH NAGAR","31/12/2023","16:25:00"
"LUNCH BOX","BLUE LUNCH BOX WITH BOTTLE","1","KASHMERE GATE","31/12/2023","00:15:00"
"GREY BAG","WITH CLOTHS,CHARGER","1","KASHMERE GATE","31/12/2023","11:00:00"
"WATCH","SONATA WATCH","1","HINDON RIVER","31/12/2023","13:00:00"
"MOBILE","BLUE MOBILE","1","LAJPAT NAGAR","31/12/2023","07:30:00"
"PURSE","WITH PAN CARD ,AADHAR ,VOTER ID CASH OF YASH KUMAR GIRI","1","RAJOURI GARDEN","31/12/2023","14:45:00"
"EMPTY HAND BAG","EMPTY HAND BAG","1","RAMAKRISHNA ASHRAM MARG","31/12/2023","17:30:00"
"EARBUDS","WHITE EARBUDS","1","NOIDA SECTOR-18","31/12/2023","23:00:00"
"PAPER BAG","WITH BLAZER,ARTIFICIAL JEWELLERY","1","ARTHALA","31/12/2023","23:50:00"
"POLY BAG","WITH SWEATER","4","DWARKA SECTOR - 10","31/12/2023","18:00:00"
"BAG","WITH BLANKET CHARGER ID CARD OF VICKY PAL","1","NEW DELHI (Yellow & Airport Line)","30/12/2023","22:30:00"
"LUNCH BAG","BLUE LUNCH BAG WITH 3 STEEL TIFFINS","1","RITHALA","30/12/2023","17:00:00"
"PAPER BAG","PAPER BAG WITH KHAKI JACKET","1","DWARKA SECTOR - 21","30/12/2023","19:35:00"
"LUNCH BOX","TUPPERWARE LUNCH BOX WITH 2 CONTAINER","1","DWARKA SECTOR - 21","30/12/2023","17:10:00"
"JACKET","BLUE JACKET","1","RAJIV CHOWK","30/12/2023","00:35:00"
"LUNCH BAG","LUNCH BAG WITH STEEL BOX ,PLASTIC BOX,BOTTLE","1","KASHMERE GATE","30/12/2023","10:00:00"
"PURSE","PURSE WITH METRO CARD ,AADHAR, PAN , RC OF MD IZHAR","1","JAMA MASJID","30/12/2023","10:31:00"
"CASH","","","UTTAM NAGAR EAST","30/12/2023","15:30:00"
"WRIST WATCH, CLOTH, SLIPPER","","3","AIIMS","30/12/2023","15:30:00"
"POLY BAG","SAREE","1","LAL QUILA","30/12/2023","13:00:00"
"POLY BAG","MOBILE CHARGER","1","NEW DELHI (Yellow & Airport Line)","30/12/2023","17:22:00"
"PURSE","WITH CASH, PENDRIVE ,AADHAR,PAN CARD,SBI CARD OF RUCHI RAWAT","1","SAROJINI NAGAR","30/12/2023","17:45:00"
"SWEATER","2 SWEATER","2","SAROJINI NAGAR","30/12/2023","01:20:00"
"NECK BAND,EARBUDS","GREY NECKBAND KDM,WHITE EARBUDS","2","BARAKHAMBA ROAD","30/12/2023","21:15:00"
"HEATER","ELECTRIC HEATER","1","TIKRI BORDER","30/12/2023","15:00:00"
"FLUTE","FLUTE","1","AIRPORT (T-3)","29/12/2023","20:30:00"
"BOTTLE","BLACK STEEL BOTTLE","1","AIRPORT (T-3)","29/12/2023","20:30:00"
"BAG","BLUE BAG WITH LOWER,BEDSHEET,PLASTIC BOTTLE,DIARY","1","DWARKA SECTOR - 21","29/12/2023","22:15:00"
"POLY BAG","WITH FLEXI POLISH PAD","1","SHAHDARA","29/12/2023","06:50:00"
"SLEEPING BAG","SLEEPING BAG","1","YASHOBHOOMI DWARKA SECTOR  - 25","29/12/2023","14:50:00"
"JACKET","BLACK JACKET","1","YASHOBHOOMI DWARKA SECTOR  - 25","29/12/2023","16:00:00"
"CARD HOLDER","WITH BANK CARDS PAN CARD OF PRIYA DARSHNI","1","PATEL CHOWK","29/12/2023","21:10:00"
"MOBILE","KARBONN MOBILE","1","RAJIV CHOWK","29/12/2023","01:50:00"
"PURSE","WITH AADHAR ,PAN CARD ,CASH OF ANURAG PANDEY","1","EAST VINOD NAGAR-MAYUR VIHAR -II","29/12/2023","12:30:00"
"CLOTHES","ONE CREAM  COLOUR SWEATER, ONE BROWN SWEATER, , WINTER CAP,MINI SKIRT,BLACK JEANS, PANT LOWER, ONE PAIR BLACK SHOES","","SAROJINI NAGAR","29/12/2023","09:00:00"
"LUNCH BOX","2 STEEL TIFFIN BOXES","1","RAJOURI GARDEN","29/12/2023","20:27:00"
"ONE FIBER PLATE","","1","RAJOURI GARDEN","29/12/2023","14:05:00"
"PURSE","PURSE HAVING  CASH,  PAN , AADHAR, RC OF NAINJYOT SINGH BAMMI, 2 DEBIT CARD, 8 CREDIT CARD","1","PATEL NAGAR","29/12/2023","17:30:00"
"BOTTLE","BLUE COLOUR","1","MAYAPURI","29/12/2023","21:15:00"
"BACKPACK","1 SAREE, 1 CLOTHE SET, I CARD SHARAD SENGAR, 2 INCH TAPE, PERFUME AND ORNAMENT","","TUGHLAKABAD STATION","29/12/2023","20:15:00"
"DOCUMENTS","PAN CARD CGHS CARD BANK CARDS OF AJIT SINGH","1","DHANSA BUS STAND","29/12/2023","22:00:00"
"EARBUDS","WHITE EARBUDS WITH CASE","1","MILLENNIUM CITY CENTRE GURUGRAM","29/12/2023","21:00:00"
"POLY BAG","BLACK JACKET,YELLOW SUIT,TAWA COOKER,GAS STOVE","1","CHANDNI CHOWK","29/12/2023","21:00:00"
"POWER BANK","SYSKA POWER BANK","1","MANDI HOUSE","29/12/2023","15:00:00"
"HELMET","BLACK HELMET","2","NEHRU ENCLAVE","29/12/2023","23:45:00"
"WAIST BAG","SAMSUNG MOBILE,EARBUDS ,EARPHONE,DATA CABLE ,ADOPTER","1","AIRPORT (T-3)","28/12/2023","12:40:00"
"BAG","BAG WITH SLIPPERS SAMPLES (SINGLES)","1","R.K.PURAM","28/12/2023","20:45:00"
"PURSE","PURSE WITH METRO CARD ,AADHAR CASH OF SURAJ THAPA","1","UTTAM NAGAR WEST","28/12/2023","19:30:00"
"RING","RING","1","GURU DRONACHARYA","28/12/2023","20:40:00"
"POLY BAG","WITH SOCKS ,BANGLES ,CAPS","1","LAL QUILA","28/12/2023","23:00:00"
"POLY BAG","WITH CLOTHS ,SHOES","1","AIRPORT (T-3)","28/12/2023","21:00:00"
"BOTTLE","BLACK COLOUR","1","SUBHASH NAGAR","28/12/2023","17:10:00"
"BAG","WITH CLOTHS ,SLIPPERS ARTIFICIAL ORNAMENTS","1","HAUZ KHAS","27/12/2023","10:30:00"
"ZOMATO DELIVERY BAG WITH","CHARGER & OLD CLOTHES","1","NEW DELHI (Yellow & Airport Line)","27/12/2023","17:16:00"
"CARRY BAG","CARRY BAG WITH BLUE PANT,SHAWL","1","TIS HAZARI","27/12/2023","19:45:00"
"BOTTLE","BLACK STEEL BOTTLE","1","HAUZ KHAS","27/12/2023","20:56:00"
"LUNCH BOX","GREY LUNCH BOX WITH 2 GLASS CONTAINERS","1","R.K.PURAM","27/12/2023","13:00:00"
"LUNCH BOX","BOROSIL LUNCH BOX WITH 1 CONTAINER","1","AIRPORT (T-3)","27/12/2023","20:30:00"
"NECK REST","GREY NECK REST","1","AIRPORT (T-3)","27/12/2023","20:30:00"
"JACKET","BLUE JACKET","1","AIRPORT (T-3)","27/12/2023","20:30:00"
"SHAWL","PINK SHAWL","1","PUNJABI BAGH WEST","27/12/2023","21:15:00"
"LUNCH BOX","BLACK OLIVEWARE LUNCH BOX WITH 1 BOX","1","PUNJABI BAGH WEST","27/12/2023","21:15:00"
"BAG WITH","STEEL BOTTLE,POWER BANK,CHARGER , STEEL GLASS & LOHI","1","MILLENNIUM CITY CENTRE GURUGRAM","26/12/2023","18:00:00"
"POLYBAG WITH","SLIPPER & JACKET","1","JAMA MASJID","26/12/2023","21:10:00"
"CARRY BAG","WITH RED LEHNGA ,BLOUSE,DUPATTA,FOOTWEAR","1","WELCOME","26/12/2023","13:40:00"
"PURSE","PURES WITH ID CARD VOTER ID AADHAR BANK CARD CASH DL OF TARUN SINGH SOLANKI","1","RAJIV CHOWK","26/12/2023","16:00:00"
"PURSE","PURSE WITH BANK CARDS, DL,PAN CARD CASH OF AKASH GANGWAL","1","TUGHLAKABAD STATION","26/12/2023","13:15:00"
"PURSE","SPECS,X FACTOR WATCH,CLOTHES","1","RAJIV CHOWK","26/12/2023","10:00:00"
"LUNCH BOX","SIGNORAWARE LUNCH WITH TWO GLASS BOX","1","GOVIND PURI","26/12/2023","20:58:00"
"WALLET","AADHAR,COPY OF PAN & CASH OF GAURAV","1","JAHANGIRPURI","26/12/2023","12:30:00"
"BAG  WITH","CLOTHES,REDMI MOBILE,ELECTRIC BOARD,CHARGER","1","IFFCO CHOWK","26/12/2023","10:30:00"
"BAG WITH","MILTON BOTTLE,NAIL PAINTS,COPY OF AADHAR,MEDICINE & CASH OF AJAY & AARTI","1","IFFCO CHOWK","26/12/2023","10:20:00"
"BAG WITH","AADHAR,PAN,MARKSHEET,OLD CLOTHE,CHARGER & BOTTLE","1","IFFCO CHOWK","26/12/2023","10:30:00"
"BAG WITH","BANK CARD, CHEQUE BOOK , DATA CABLE,SLIPPER & CLOTHES","1","IFFCO CHOWK","26/12/2023","14:30:00"
"BAG WITH","FABRIC,CLOTHES,SLIPPER,GLASS & PLATE","1","IFFCO CHOWK","26/12/2023","14:30:00"
"BED SHEET","BED SHEET","1","DWARKA SECTOR - 21","26/12/2023","20:02:00"
"BAG","LUNCH BOX","1","DWARKA SECTOR - 21","26/12/2023","20:52:00"
"NCMC CARD","NCMC CARD","1","DHANSA BUS STAND","26/12/2023","13:00:00"
"JACKET","JACKET","02","RAJIV CHOWK","26/12/2023","21:30:00"
"POLY BAG","SHAWL","1","SAROJINI NAGAR","26/12/2023","17:00:00"
"BAG","WITH BLUE SEATER ,COAT,POSTER","1","SAROJINI NAGAR","26/12/2023","01:00:00"
"BAG","BAG WITH DIARY,REGISTER ,ADMIT CARD COPY OF KARTIK SHARMA","1","VISHWAVIDYALAYA","26/12/2023","20:45:00"
"POLY BAG","WITH CUB BRUSH ,MEASRURING TAPE","1","YASHOBHOOMI DWARKA SECTOR  - 25","26/12/2023","14:00:00"
"POLY BAG","WITH TOWEL,BEDSHEET'S ,TRIMMER ,LUNCH BOXWITH DATA CABLE ,WATCH,CARD READER","1","LAL QUILA","26/12/2023","06:25:00"
"LADIES PURSE","BANK CARDS & CASH OF MS. RIYA CHANGIA","1","SECTOR - 52 NOIDA","25/12/2023","16:00:00"
"PURSE","PURSE WITH UCO BANK CARD, CASH","1","NEW DELHI (Yellow & Airport Line)","25/12/2023","09:45:00"
"PURSE","PURSE WITH METRO CARD AADHAR CASH OF ARUNIKA MISHRA","1","GURU DRONACHARYA","25/12/2023","20:35:00"
"PURSE","PURSE WITH AADHAR CARD ,HDFC CARD OF RAKESH KUMAR","1","HAUZ KHAS","25/12/2023","21:30:00"
"HAND BAG","GREY HAND BAG WITH BOTTLES ,PLASTIC TIFFIN","1","RAJIV CHOWK","25/12/2023","10:10:00"
"BLACK BAG","BAG WITH CLOTHES PURSE GOGGLES CHARGER CAPS SLIPPER EARBUD & CASH","1","DWARKA SECTOR - 21","25/12/2023","20:35:00"
"SIDE BAG","BAG WITH BOOKS SUNGLASS EARPHONE & MEDICINE","1","RAMAKRISHNA ASHRAM MARG","25/12/2023","00:42:00"
"TROLLEY BAG","BLUE SAFARI TROLLEY BAG WITH CLOTHS","1","JANAKPURI WEST","25/12/2023","10:50:00"
"POLY BAG","POLY BAG WITH LADY SUITS ,JACKET","1","CHANDNI CHOWK","25/12/2023","21:45:00"
"PENDANT","SILVER COLOR PENDANT","1","AZADPUR","25/12/2023","11:50:00"
"EARBUD & SCARF","EARBUD & SCARF","2","RAJIV CHOWK","25/12/2023","21:43:00"
"BLAZER & JEANS","BLAZER & JEANS","2","RAJIV CHOWK","25/12/2023","21:43:00"
"BAG","LUNCH BOX,ERD CHARGER,PAYTM BARCODE SCANNER,AADHAR,DL , BANK CARD OF LALAN KUMAR","8","KRISHNA NAGAR","25/12/2023","16:25:00"
"PURSE","JACKET,STALL,BOOKS,CAP & CLOTHE","04","KAROL BAGH","25/12/2023","21:15:00"
"DRAFTER","MINI DRAFTER WITH BLUE CASE","1","CENTRAL SECRETARIAT","25/12/2023","12:00:00"
"EARBUDS","BLACK TRUKE EARBUDS","1","SAKET","25/12/2023","20:30:00"
"PNB CARD OF SONIYA THAKRAN","","1","DHANSA BUS STAND","25/12/2023","15:30:00"
"BOTTLE","STEEL BOTTLE","1","PANCHSHEEL PARK","25/12/2023","18:20:00"
"PLASTIC BOX","PLASTIC BOX HAVING ARTIFICIAL ORNAMENTS","2","KASHMERE GATE","25/12/2023","13:00:00"
"WAIST BAG","WITH KEYS AADHAR, PAN, AFMC CARD,SBI CARD,CASH OF DEV SINGH","1","KASHMERE GATE","25/12/2023","13:15:00"
"WATCH","SONATA WATCH","1","MANDI HOUSE","25/12/2023","12:10:00"
"BLANKET","","1","MILLENNIUM CITY CENTRE GURUGRAM","24/12/2023","21:00:00"
"WATER BOTTLE","","1","MILLENNIUM CITY CENTRE GURUGRAM","24/12/2023","13:40:00"
"PHOTOCOPY REPORT OF","PHOOLMALA & YOGESH","1","HAUZ KHAS","24/12/2023","09:00:00"
"HAND BAG WITH","CLOTHES & CASH","1","M.G. ROAD","24/12/2023","18:00:00"
"CARD HOLDER WITH","BANK CARD,CSD CARD & CASH OF RAJESH KUMAR","1","M.G. ROAD","24/12/2023","17:00:00"
"PAPER BAG","WITH SWEATSHIRT","1","RAJIV CHOWK","24/12/2023","13:45:00"
"BAG","BLUE BAG WITH CLOTHS COOKWARE","1","PUNJABI BAGH WEST","24/12/2023","23:00:00"
"PURSE","BROWN PURSE WITH AADHAR CARD,VOTER ID OF SANGEETA","1","AIIMS","24/12/2023","18:45:00"
"BAG","BLACK BAG WITH HP LAPTOP WITH CHARGER ,MOUSE ,MOBILE CHARGER","1","SHADIPUR","24/12/2023","12:00:00"
"WATCH","YELLOW COLOR WATCH","1","RAMAKRISHNA ASHRAM MARG","24/12/2023","18:10:00"
"PURSE","PURSE WITH AADHAR,BANK CARD,DL ,VOTER ID OF MALEMNGANBA","1","ASHRAM","24/12/2023","13:30:00"
"WALL CLOCK","WALL CLOCK","1","CHANDNI CHOWK","24/12/2023","12:55:00"
"LAPTOP CHARGER","","1","VISHWAVIDYALAYA","23/12/2023","17:46:00"
"POLYBAG","MOBILE COVER & JACKET","1","KAROL BAGH","23/12/2023","21:00:00"
"SWEATER,JEANS & BLAZER","","1","SAROJINI NAGAR","23/12/2023","01:00:00"
"SAREE & PETICOAT","","2","ROHINI WEST","23/12/2023","20:58:00"
